,Age,Role Models,Competitiveness,Competitiveness1
0,61,3,1,Competitive
1,21,8,0,Competitive
2,6,2,1,Competitive
3,56,5,1,Competitive
4,8,3,1,Competitive
5,7,9,0,Competitive
6,40,9,1,Competitive
7,46,1,1,Non-Competitive
8,27,6,1,Competitive
9,8,0,1,Non-Competitive
10,38,2,1,Competitive
11,35,2,1,Competitive
12,34,0,1,Competitive
13,12,0,1,Competitive
14,11,8,1,Competitive
15,52,4,1,Competitive
16,22,5,0,Non-Competitive
17,42,10,0,Non-Competitive
18,9,10,0,Non-Competitive
19,19,2,1,Competitive
20,18,9,1,Competitive
21,29,10,0,Competitive
22,44,4,0,Non-Competitive
23,19,6,1,Competitive
24,52,4,1,Competitive
25,27,0,0,Competitive
26,32,9,0,Competitive
27,26,7,1,Competitive
28,24,0,1,Competitive
29,55,0,0,Competitive
30,53,2,0,Competitive
31,11,3,1,Competitive
32,22,9,1,Competitive
33,6,9,1,Non-Competitive
34,14,9,0,Non-Competitive
35,17,5,0,Competitive
36,10,9,1,Competitive
37,37,0,1,Competitive
38,8,8,0,Competitive
39,18,0,0,Competitive
40,37,8,0,Competitive
41,28,1,0,Competitive
42,24,9,1,Competitive
43,17,1,1,Competitive
44,28,9,1,Competitive
45,52,5,0,Competitive
46,25,0,1,Competitive
47,27,8,0,Non-Competitive
48,8,6,0,Competitive
49,36,3,0,Competitive
50,44,8,1,Competitive
51,56,7,0,Competitive
52,60,7,1,Competitive
53,59,7,0,Competitive
54,13,8,0,Non-Competitive
55,16,5,0,Non-Competitive
56,36,8,1,Competitive
57,51,2,0,Competitive
58,44,4,1,Non-Competitive
59,10,1,0,Non-Competitive
60,47,2,0,Competitive
61,18,5,0,Competitive
62,11,4,1,Non-Competitive
63,33,4,1,Competitive
64,59,8,0,Competitive
65,58,0,1,Non-Competitive
66,16,1,1,Competitive
67,56,2,1,Non-Competitive
68,42,1,1,Non-Competitive
69,25,7,1,Competitive
70,54,1,1,Competitive
71,4,5,0,Competitive
72,41,3,0,Competitive
73,29,4,1,Non-Competitive
74,7,8,1,Non-Competitive
75,43,5,1,Competitive
76,24,9,0,Non-Competitive
77,38,7,1,Competitive
78,30,8,0,Competitive
79,65,9,0,Competitive
80,5,9,0,Competitive
81,57,7,0,Competitive
82,57,5,1,Competitive
83,20,4,0,Competitive
84,41,8,1,Non-Competitive
85,51,8,1,Competitive
86,10,6,1,Competitive
87,37,1,0,Competitive
88,14,6,0,Competitive
89,32,4,0,Competitive
90,51,6,0,Competitive
91,21,3,0,Competitive
92,17,3,1,Competitive
93,62,8,1,Competitive
94,63,2,1,Competitive
95,10,7,0,Competitive
96,55,9,1,Competitive
97,5,1,0,Competitive
98,53,4,1,Competitive
99,25,1,1,Non-Competitive
