,Age,Role Models,Competitiveness1
0,14,6,Competitive
1,22,2,Competitive
2,24,10,Non-Competitive
3,37,6,Non-Competitive
4,20,9,Competitive
5,16,2,Competitive
6,17,9,Competitive
7,59,3,Non-Competitive
8,51,7,Non-Competitive
9,47,9,Non-Competitive
10,4,7,Competitive
11,12,10,Competitive
12,35,10,Competitive
13,53,3,Competitive
14,43,7,Non-Competitive
15,30,4,Competitive
16,4,3,Non-Competitive
17,14,9,Non-Competitive
18,63,8,Competitive
19,26,5,Competitive
20,30,10,Competitive
21,52,5,Competitive
22,19,9,Competitive
23,38,4,Non-Competitive
24,27,8,Competitive
25,32,4,Competitive
26,18,6,Competitive
27,15,1,Competitive
28,50,5,Competitive
29,21,5,Competitive
30,43,0,Competitive
31,9,4,Competitive
32,27,3,Non-Competitive
33,49,6,Competitive
34,23,2,Competitive
35,59,10,Competitive
36,11,1,Competitive
37,14,4,Competitive
38,13,10,Non-Competitive
39,38,9,Non-Competitive
40,33,0,Competitive
41,24,3,Competitive
42,28,1,Competitive
43,58,6,Competitive
44,40,0,Competitive
45,17,5,Competitive
46,57,2,Competitive
47,16,9,Competitive
48,24,9,Competitive
49,40,0,Non-Competitive
50,20,0,Competitive
51,32,7,Competitive
52,65,8,Competitive
53,21,9,Competitive
54,16,10,Competitive
55,11,3,Competitive
56,64,1,Competitive
57,45,9,Competitive
58,62,8,Non-Competitive
59,9,6,Competitive
60,17,10,Competitive
61,21,8,Competitive
62,30,3,Competitive
63,10,3,Competitive
64,11,7,Competitive
65,40,10,Competitive
66,55,1,Non-Competitive
67,28,4,Non-Competitive
68,63,10,Competitive
69,20,0,Competitive
70,48,8,Competitive
71,45,9,Competitive
72,23,4,Competitive
73,18,5,Competitive
74,61,9,Competitive
75,9,7,Competitive
76,29,1,Competitive
77,48,8,Competitive
78,48,10,Non-Competitive
79,13,7,Competitive
80,53,4,Non-Competitive
81,62,10,Competitive
82,18,4,Competitive
83,48,4,Non-Competitive
84,44,10,Competitive
85,21,8,Competitive
86,25,4,Competitive
87,15,4,Non-Competitive
88,16,3,Competitive
89,40,8,Non-Competitive
90,19,9,Non-Competitive
91,27,4,Competitive
92,10,6,Non-Competitive
93,54,9,Competitive
94,17,4,Competitive
95,4,4,Competitive
96,43,9,Competitive
97,64,6,Non-Competitive
98,23,5,Competitive
99,19,6,Competitive
