,Age,Role Models,Competitiveness1,Access
0,63,6,Competitive,<50%
1,40,10,Competitive,<50%
2,10,5,Competitive,<50%
3,44,10,Competitive,<50%
4,64,10,Competitive,<50%
5,19,3,Competitive,<50%
6,29,8,Competitive,<50%
7,33,8,Non-Competitive,50% to 100%
8,60,2,Competitive,50% to 100%
9,18,10,Competitive,<50%
10,24,4,Non-Competitive,<50%
11,61,6,Competitive,<50%
12,46,4,Competitive,<50%
13,54,7,Competitive,<50%
14,27,0,Non-Competitive,<50%
15,21,9,Non-Competitive,<50%
16,34,0,Competitive,50% to 100%
17,19,0,Competitive,Equal
18,24,2,Competitive,<50%
19,24,7,Competitive,Equal
20,59,5,Competitive,<50%
21,20,9,Competitive,<50%
22,31,9,Competitive,<50%
23,62,2,Competitive,50% to 100%
24,53,9,Non-Competitive,<50%
25,6,2,Competitive,<50%
26,25,9,Non-Competitive,<50%
27,50,5,Non-Competitive,<50%
28,15,0,Competitive,<50%
29,6,4,Competitive,<50%
30,18,10,Non-Competitive,<50%
31,35,10,Competitive,<50%
32,14,7,Competitive,<50%
33,20,1,Competitive,<50%
34,7,2,Non-Competitive,<50%
35,49,6,Competitive,50% to 100%
36,43,5,Competitive,<50%
37,55,2,Competitive,<50%
38,46,4,Competitive,50% to 100%
39,19,3,Competitive,<50%
40,50,8,Competitive,50% to 100%
41,39,5,Competitive,50% to 100%
42,22,5,Competitive,<50%
43,11,9,Competitive,50% to 100%
44,41,9,Non-Competitive,<50%
45,40,4,Competitive,<50%
46,30,7,Competitive,<50%
47,37,10,Competitive,<50%
48,65,10,Competitive,<50%
49,30,8,Non-Competitive,<50%
50,14,6,Non-Competitive,<50%
51,6,6,Competitive,50% to 100%
52,50,1,Competitive,<50%
53,57,9,Non-Competitive,<50%
54,6,0,Non-Competitive,Equal
55,24,10,Competitive,<50%
56,48,9,Competitive,<50%
57,20,10,Non-Competitive,<50%
58,36,9,Competitive,<50%
59,9,9,Competitive,<50%
60,61,4,Competitive,50% to 100%
61,50,6,Competitive,50% to 100%
62,63,3,Competitive,<50%
63,21,6,Non-Competitive,<50%
64,15,8,Competitive,<50%
65,62,3,Competitive,<50%
66,17,9,Competitive,Equal
67,35,10,Competitive,<50%
68,19,9,Competitive,<50%
69,61,8,Competitive,<50%
70,27,5,Competitive,50% to 100%
71,37,6,Non-Competitive,50% to 100%
72,41,0,Competitive,<50%
73,33,8,Competitive,<50%
74,60,1,Non-Competitive,<50%
75,10,6,Competitive,<50%
76,41,9,Competitive,<50%
77,27,10,Competitive,<50%
78,37,8,Competitive,<50%
79,33,1,Competitive,<50%
80,34,5,Competitive,<50%
81,45,9,Non-Competitive,<50%
82,23,1,Competitive,50% to 100%
83,9,4,Competitive,<50%
84,11,4,Competitive,<50%
85,29,7,Non-Competitive,<50%
86,27,4,Competitive,<50%
87,25,4,Non-Competitive,<50%
88,46,0,Competitive,<50%
89,63,1,Non-Competitive,<50%
90,55,9,Competitive,50% to 100%
91,39,6,Competitive,<50%
92,65,10,Competitive,50% to 100%
93,37,7,Non-Competitive,<50%
94,43,5,Competitive,50% to 100%
95,31,1,Competitive,<50%
96,34,0,Non-Competitive,<50%
97,28,8,Non-Competitive,<50%
98,53,4,Competitive,<50%
99,22,3,Competitive,50% to 100%
