,Age,Role Models,Competitiveness1,Access compared to Boys,Role Model category,Competitiveness category,Access Category,Participation rate1
0,9,6,Competitive,<50%,Medium,Low,Low,Low
1,9,0,Competitive,<50%,Low,Low,Low,Low
2,57,7,Competitive,<50%,High,Low,Low,Low
3,42,2,Non-Competitive,<50%,Medium,Medium,Low,Low
4,27,7,Competitive,Equal,High,Low,High,Low
5,43,7,Competitive,50% to 100%,High,Low,Medium,Low
6,42,0,Non-Competitive,<50%,Low,Medium,Low,Low
7,36,6,Competitive,<50%,Medium,Low,Low,Low
8,47,3,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
9,16,5,Competitive,<50%,Medium,Low,Low,Low
10,11,8,Non-Competitive,<50%,High,Medium,Low,Low
11,28,0,Competitive,50% to 100%,Low,Low,Medium,Low
12,57,7,Non-Competitive,<50%,High,Medium,Low,Low
13,16,6,Competitive,50% to 100%,Medium,Low,Medium,Low
14,6,3,Competitive,50% to 100%,Medium,Low,Medium,Low
15,34,0,Competitive,<50%,Low,Low,Low,Low
16,65,1,Competitive,<50%,Low,Low,Low,Low
17,63,5,Competitive,<50%,Medium,Low,Low,Low
18,62,9,Competitive,50% to 100%,High,Low,Medium,Low
19,9,5,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
20,34,4,Competitive,<50%,Medium,Low,Low,Low
21,43,6,Competitive,<50%,Medium,Low,Low,Low
22,37,7,Competitive,<50%,High,Low,Low,Low
23,52,9,Competitive,50% to 100%,High,Low,Medium,Low
24,41,7,Competitive,<50%,High,Low,Low,Low
25,22,7,Non-Competitive,<50%,High,Medium,Low,Low
26,18,9,Competitive,<50%,High,Low,Low,Low
27,24,1,Competitive,<50%,Low,Low,Low,Low
28,46,6,Competitive,<50%,Medium,Low,Low,Low
29,14,0,Competitive,<50%,Low,Low,Low,Low
30,27,6,Competitive,Equal,Medium,Low,High,Low
31,34,0,Competitive,50% to 100%,Low,Low,Medium,Low
32,34,3,Competitive,<50%,Medium,Low,Low,Low
33,18,1,Competitive,<50%,Low,Low,Low,Low
34,7,4,Competitive,50% to 100%,Medium,Low,Medium,Low
35,35,9,Competitive,<50%,High,Low,Low,Low
36,9,6,Competitive,<50%,Medium,Low,Low,Low
37,59,1,Competitive,<50%,Low,Low,Low,Low
38,57,6,Non-Competitive,<50%,Medium,Medium,Low,Low
39,20,0,Competitive,50% to 100%,Low,Low,Medium,Low
40,31,7,Competitive,50% to 100%,High,Low,Medium,Low
41,27,1,Competitive,50% to 100%,Low,Low,Medium,Low
42,44,6,Competitive,<50%,Medium,Low,Low,Low
43,43,7,Non-Competitive,<50%,High,Medium,Low,Low
44,8,6,Competitive,<50%,Medium,Low,Low,Low
45,47,9,Non-Competitive,50% to 100%,High,Medium,Medium,Medium
46,12,5,Competitive,<50%,Medium,Low,Low,Low
47,33,0,Competitive,<50%,Low,Low,Low,Low
48,11,7,Competitive,<50%,High,Low,Low,Low
49,13,2,Competitive,Equal,Medium,Low,High,Low
50,23,8,Competitive,<50%,High,Low,Low,Low
51,10,8,Competitive,<50%,High,Low,Low,Low
52,9,6,Competitive,<50%,Medium,Low,Low,Low
53,17,0,Competitive,<50%,Low,Low,Low,Low
54,47,6,Competitive,<50%,Medium,Low,Low,Low
55,43,8,Competitive,Equal,High,Low,High,Low
56,8,5,Competitive,<50%,Medium,Low,Low,Low
57,31,0,Non-Competitive,<50%,Low,Medium,Low,Low
58,17,9,Competitive,50% to 100%,High,Low,Medium,Low
59,36,3,Non-Competitive,<50%,Medium,Medium,Low,Low
60,24,4,Competitive,<50%,Medium,Low,Low,Low
61,4,6,Competitive,<50%,Medium,Low,Low,Low
62,19,0,Competitive,<50%,Low,Low,Low,Low
63,6,7,Non-Competitive,50% to 100%,High,Medium,Medium,Medium
64,64,10,Competitive,<50%,High,Low,Low,Low
65,18,1,Non-Competitive,<50%,Low,Medium,Low,Low
66,43,8,Competitive,<50%,High,Low,Low,Low
67,46,1,Competitive,Equal,Low,Low,High,Low
68,16,8,Non-Competitive,<50%,High,Medium,Low,Low
69,56,0,Competitive,<50%,Low,Low,Low,Low
70,64,1,Non-Competitive,50% to 100%,Low,Medium,Medium,Low
71,34,7,Non-Competitive,50% to 100%,High,Medium,Medium,Medium
72,62,9,Competitive,<50%,High,Low,Low,Low
73,43,4,Competitive,<50%,Medium,Low,Low,Low
74,53,6,Competitive,<50%,Medium,Low,Low,Low
75,12,3,Competitive,<50%,Medium,Low,Low,Low
76,40,6,Competitive,<50%,Medium,Low,Low,Low
77,37,10,Competitive,<50%,High,Low,Low,Low
