,Age,Role Models,Competitiveness1,Competitiveness,Access compared to Boys,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate1
0,30,4,Non-Competitive,Competitive,<50%,50% to 100%,Medium,Low,Medium,Low
1,65,0,Competitive,Competitive,<50%,<50%,Low,Low,Low,Low
2,58,5,Non-Competitive,Non-Competitive,50% to 100%,<50%,Medium,Medium,Low,Medium
3,43,10,Non-Competitive,Non-Competitive,<50%,50% to 100%,High,Medium,Medium,Low
4,8,9,Competitive,Competitive,<50%,<50%,High,Low,Low,Low
5,7,8,Non-Competitive,Competitive,<50%,<50%,High,Low,Low,Low
6,20,10,Non-Competitive,Competitive,Equal,<50%,High,Low,Low,Low
7,31,0,Competitive,Competitive,<50%,50% to 100%,Low,Low,Medium,Low
8,28,2,Competitive,Competitive,<50%,<50%,Medium,Low,Low,Low
9,20,3,Competitive,Competitive,<50%,<50%,Medium,Low,Low,Low
10,35,8,Competitive,Competitive,<50%,50% to 100%,High,Low,Medium,Low
11,8,8,Competitive,Non-Competitive,<50%,<50%,High,Medium,Low,Low
12,51,6,Competitive,Competitive,<50%,50% to 100%,Medium,Low,Medium,Low
13,43,8,Non-Competitive,Competitive,<50%,<50%,High,Low,Low,Low
14,4,9,Non-Competitive,Non-Competitive,Equal,<50%,High,Medium,Low,Medium
15,54,3,Competitive,Competitive,<50%,<50%,Medium,Low,Low,Low
16,56,1,Competitive,Competitive,<50%,<50%,Low,Low,Low,Low
17,50,0,Competitive,Competitive,<50%,Equal,Low,Low,High,Low
18,24,3,Competitive,Competitive,50% to 100%,<50%,Medium,Low,Low,Low
19,40,2,Competitive,Competitive,<50%,<50%,Medium,Low,Low,Low
20,44,0,Non-Competitive,Competitive,<50%,<50%,Low,Low,Low,Low
21,8,4,Competitive,Competitive,<50%,<50%,Medium,Low,Low,Low
22,15,5,Competitive,Competitive,<50%,50% to 100%,Medium,Low,Medium,Low
23,25,8,Non-Competitive,Competitive,<50%,<50%,High,Low,Low,Low
24,53,0,Competitive,Competitive,<50%,<50%,Low,Low,Low,Low
25,4,4,Non-Competitive,Competitive,<50%,<50%,Medium,Low,Low,Low
26,59,5,Competitive,Non-Competitive,50% to 100%,<50%,Medium,Medium,Low,Low
27,44,2,Competitive,Competitive,<50%,50% to 100%,Medium,Low,Medium,Low
28,4,4,Competitive,Competitive,<50%,50% to 100%,Medium,Low,Medium,Low
29,52,7,Competitive,Competitive,<50%,<50%,High,Low,Low,Low
30,38,8,Competitive,Competitive,<50%,Equal,High,Low,High,Low
31,36,9,Competitive,Competitive,<50%,<50%,High,Low,Low,Low
32,31,4,Competitive,Competitive,<50%,<50%,Medium,Low,Low,Low
33,9,9,Competitive,Competitive,<50%,<50%,High,Low,Low,Low
34,35,1,Non-Competitive,Competitive,<50%,50% to 100%,Low,Low,Medium,Low
35,42,4,Non-Competitive,Competitive,<50%,<50%,Medium,Low,Low,Low
36,8,1,Competitive,Competitive,<50%,<50%,Low,Low,Low,Low
37,46,3,Competitive,Competitive,<50%,<50%,Medium,Low,Low,Low
38,33,0,Competitive,Competitive,<50%,<50%,Low,Low,Low,Low
39,20,10,Competitive,Competitive,<50%,<50%,High,Low,Low,Low
40,11,8,Competitive,Competitive,<50%,<50%,High,Low,Low,Low
41,17,2,Competitive,Non-Competitive,<50%,Equal,Medium,Medium,High,Low
42,59,2,Competitive,Competitive,<50%,50% to 100%,Medium,Low,Medium,Low
43,14,4,Competitive,Competitive,Equal,Equal,Medium,Low,High,Low
44,50,7,Non-Competitive,Competitive,50% to 100%,Equal,High,Low,High,High
45,60,3,Competitive,Competitive,<50%,<50%,Medium,Low,Low,Low
46,46,6,Competitive,Competitive,<50%,<50%,Medium,Low,Low,Low
47,10,0,Competitive,Competitive,<50%,<50%,Low,Low,Low,Low
48,47,10,Competitive,Non-Competitive,<50%,<50%,High,Medium,Low,Low
49,35,0,Competitive,Competitive,<50%,50% to 100%,Low,Low,Medium,Low
50,48,8,Competitive,Competitive,<50%,<50%,High,Low,Low,Low
51,37,3,Competitive,Non-Competitive,Equal,50% to 100%,Medium,Medium,Medium,Low
52,4,0,Competitive,Competitive,<50%,<50%,Low,Low,Low,Low
53,31,8,Non-Competitive,Competitive,<50%,<50%,High,Low,Low,Low
54,37,1,Competitive,Competitive,<50%,50% to 100%,Low,Low,Medium,Low
55,4,10,Competitive,Non-Competitive,50% to 100%,50% to 100%,High,Medium,Medium,Low
56,57,9,Competitive,Competitive,50% to 100%,<50%,High,Low,Low,Low
57,30,0,Competitive,Competitive,50% to 100%,Equal,Low,Low,High,Low
58,22,7,Competitive,Competitive,<50%,<50%,High,Low,Low,Low
59,32,8,Competitive,Competitive,<50%,<50%,High,Low,Low,Low
60,60,10,Competitive,Competitive,<50%,<50%,High,Low,Low,Low
61,5,6,Competitive,Non-Competitive,<50%,<50%,Medium,Medium,Low,Low
62,57,5,Non-Competitive,Competitive,<50%,50% to 100%,Medium,Low,Medium,Low
63,42,10,Competitive,Competitive,<50%,<50%,High,Low,Low,Low
64,46,3,Competitive,Competitive,50% to 100%,<50%,Medium,Low,Low,Low
65,33,0,Non-Competitive,Competitive,<50%,<50%,Low,Low,Low,Low
66,61,8,Competitive,Non-Competitive,50% to 100%,<50%,High,Medium,Low,Low
67,37,2,Competitive,Competitive,<50%,<50%,Medium,Low,Low,Low
68,47,0,Competitive,Competitive,<50%,<50%,Low,Low,Low,Low
69,19,1,Non-Competitive,Non-Competitive,50% to 100%,<50%,Low,Medium,Low,Low
70,43,7,Competitive,Competitive,<50%,<50%,High,Low,Low,Low
71,45,8,Competitive,Competitive,<50%,<50%,High,Low,Low,Low
72,57,4,Non-Competitive,Competitive,<50%,<50%,Medium,Low,Low,Low
73,27,8,Non-Competitive,Competitive,<50%,<50%,High,Low,Low,Low
74,38,5,Competitive,Competitive,50% to 100%,<50%,Medium,Low,Low,Low
75,41,10,Competitive,Competitive,<50%,50% to 100%,High,Low,Medium,Low
76,12,6,Competitive,Competitive,<50%,<50%,Medium,Low,Low,Low
77,55,4,Non-Competitive,Non-Competitive,<50%,<50%,Medium,Medium,Low,Low
78,37,0,Competitive,Competitive,<50%,<50%,Low,Low,Low,Low
79,54,6,Non-Competitive,Competitive,50% to 100%,<50%,Medium,Low,Low,Low
80,51,10,Competitive,Competitive,50% to 100%,<50%,High,Low,Low,Low
81,30,7,Competitive,Competitive,<50%,<50%,High,Low,Low,Low
82,33,9,Competitive,Competitive,<50%,50% to 100%,High,Low,Medium,Low
83,43,0,Competitive,Competitive,<50%,<50%,Low,Low,Low,Low
84,21,0,Non-Competitive,Competitive,50% to 100%,<50%,Low,Low,Low,Low
85,5,9,Competitive,Non-Competitive,<50%,<50%,High,Medium,Low,Low
86,39,8,Competitive,Non-Competitive,<50%,<50%,High,Medium,Low,Low
87,52,1,Non-Competitive,Competitive,<50%,50% to 100%,Low,Low,Medium,Low
88,43,5,Competitive,Competitive,Equal,<50%,Medium,Low,Low,Low
89,37,2,Competitive,Competitive,<50%,<50%,Medium,Low,Low,Low
90,39,4,Non-Competitive,Competitive,50% to 100%,<50%,Medium,Low,Low,Low
91,34,5,Competitive,Competitive,50% to 100%,<50%,Medium,Low,Low,Low
92,16,7,Competitive,Competitive,Equal,Equal,High,Low,High,Low
93,24,9,Non-Competitive,Competitive,<50%,<50%,High,Low,Low,Low
94,59,10,Competitive,Competitive,<50%,<50%,High,Low,Low,Low
95,49,2,Competitive,Competitive,50% to 100%,50% to 100%,Medium,Low,Medium,Low
96,45,5,Non-Competitive,Competitive,<50%,<50%,Medium,Low,Low,Low
97,7,0,Competitive,Non-Competitive,<50%,<50%,Low,Medium,Low,Low
98,4,0,Non-Competitive,Competitive,50% to 100%,<50%,Low,Low,Low,Low
99,31,5,Non-Competitive,Non-Competitive,<50%,<50%,Medium,Medium,Low,Low
