,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate1
0,7,10,Competitive,<50%,High,Low,Low,Low
1,35,1,Non-Competitive,<50%,Low,Medium,Low,Low
2,5,7,Competitive,<50%,High,Low,Low,Low
3,28,10,Competitive,<50%,High,Low,Low,Low
4,26,6,Competitive,50% to 100%,Medium,Low,Medium,Low
5,44,1,Competitive,<50%,Low,Low,Low,Low
6,65,7,Competitive,Equal,High,Low,High,Low
7,9,9,Competitive,<50%,High,Low,Low,Low
8,51,3,Competitive,<50%,Medium,Low,Low,Low
9,49,2,Competitive,50% to 100%,Medium,Low,Medium,Low
10,25,5,Competitive,<50%,Medium,Low,Low,Low
11,11,7,Competitive,Equal,High,Low,High,Low
12,43,3,Non-Competitive,<50%,Medium,Medium,Low,Low
13,8,8,Competitive,<50%,High,Low,Low,Low
14,33,10,Non-Competitive,<50%,High,Medium,Low,Low
15,28,9,Non-Competitive,<50%,High,Medium,Low,Low
16,4,8,Competitive,50% to 100%,High,Low,Medium,Low
17,9,7,Competitive,Equal,High,Low,High,Low
18,18,2,Competitive,<50%,Medium,Low,Low,Low
19,28,5,Non-Competitive,<50%,Medium,Medium,Low,Low
20,9,6,Competitive,<50%,Medium,Low,Low,Low
21,46,6,Competitive,<50%,Medium,Low,Low,Low
22,16,9,Competitive,<50%,High,Low,Low,Low
23,16,9,Non-Competitive,50% to 100%,High,Medium,Medium,Medium
24,19,7,Competitive,<50%,High,Low,Low,Low
25,19,6,Competitive,<50%,Medium,Low,Low,Low
26,25,3,Competitive,<50%,Medium,Low,Low,Low
27,32,6,Competitive,Equal,Medium,Low,High,Low
28,47,9,Competitive,50% to 100%,High,Low,Medium,Low
29,21,1,Competitive,<50%,Low,Low,Low,Low
30,47,9,Non-Competitive,<50%,High,Medium,Low,Low
31,17,0,Non-Competitive,<50%,Low,Medium,Low,Low
32,44,10,Competitive,50% to 100%,High,Low,Medium,Low
33,15,7,Competitive,<50%,High,Low,Low,Low
34,23,3,Competitive,<50%,Medium,Low,Low,Low
35,34,5,Competitive,<50%,Medium,Low,Low,Low
36,33,4,Competitive,50% to 100%,Medium,Low,Medium,Low
37,30,7,Non-Competitive,<50%,High,Medium,Low,Low
38,9,2,Non-Competitive,<50%,Medium,Medium,Low,Low
39,5,0,Non-Competitive,<50%,Low,Medium,Low,Low
40,27,7,Competitive,Equal,High,Low,High,Low
41,40,5,Non-Competitive,<50%,Medium,Medium,Low,Low
42,36,7,Non-Competitive,50% to 100%,High,Medium,Medium,Medium
43,45,9,Competitive,Equal,High,Low,High,Low
44,60,5,Competitive,50% to 100%,Medium,Low,Medium,Low
45,46,6,Competitive,<50%,Medium,Low,Low,Low
46,7,0,Competitive,50% to 100%,Low,Low,Medium,Low
47,37,8,Non-Competitive,<50%,High,Medium,Low,Low
48,47,2,Competitive,<50%,Medium,Low,Low,Low
49,5,1,Non-Competitive,50% to 100%,Low,Medium,Medium,Low
50,49,9,Non-Competitive,50% to 100%,High,Medium,Medium,Medium
51,23,3,Competitive,<50%,Medium,Low,Low,Low
52,33,5,Competitive,<50%,Medium,Low,Low,Low
53,18,4,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
54,34,4,Competitive,<50%,Medium,Low,Low,Low
55,19,8,Non-Competitive,<50%,High,Medium,Low,Low
56,24,4,Competitive,50% to 100%,Medium,Low,Medium,Low
57,28,2,Competitive,<50%,Medium,Low,Low,Low
58,49,9,Competitive,<50%,High,Low,Low,Low
59,19,6,Competitive,<50%,Medium,Low,Low,Low
60,13,5,Non-Competitive,<50%,Medium,Medium,Low,Low
61,33,8,Non-Competitive,<50%,High,Medium,Low,Low
62,29,2,Competitive,<50%,Medium,Low,Low,Low
63,8,4,Non-Competitive,<50%,Medium,Medium,Low,Low
64,13,3,Competitive,<50%,Medium,Low,Low,Low
65,43,7,Competitive,<50%,High,Low,Low,Low
66,52,7,Non-Competitive,<50%,High,Medium,Low,Low
67,18,10,Non-Competitive,<50%,High,Medium,Low,Low
68,29,5,Competitive,<50%,Medium,Low,Low,Low
69,36,3,Competitive,50% to 100%,Medium,Low,Medium,Low
70,6,7,Competitive,<50%,High,Low,Low,Low
71,19,10,Competitive,<50%,High,Low,Low,Low
72,64,6,Competitive,<50%,Medium,Low,Low,Low
73,24,10,Competitive,50% to 100%,High,Low,Medium,Low
74,35,10,Non-Competitive,<50%,High,Medium,Low,Low
