,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate,Participation %
0,18,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,22.6%
1,17,3,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate,22.6%
2,10,1,Equally Competitive & Non-Competitive,Equal,Current rate,Expected rate,Optimum rate,Expected rate,53.1%
3,15,9,Non-Competitive,50% to 100%,Optimum rate,Optimum rate,Expected rate,Optimum rate,0
4,19,3,Non-Competitive,50% to 100%,Expected rate,Optimum rate,Expected rate,Expected rate,22.6%
5,12,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate,53.1%
6,19,0,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate,22.6%
7,19,0,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate,22.6%
8,18,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,22.6%
9,16,4,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate,22.6%
10,17,1,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate,22.6%
11,18,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate,22.6%
12,12,4,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate,53.1%
13,17,4,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate,22.6%
14,12,2,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate,53.1%
15,12,6,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Expected rate,53.1%
16,12,1,Competitive,Equal,Current rate,Current rate,Optimum rate,Current rate,53.1%
17,12,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate,53.1%
18,17,5,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Expected rate,22.6%
19,11,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate,53.1%
20,14,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,53.1%
21,13,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate,53.1%
22,12,1,Non-Competitive,50% to 100%,Current rate,Optimum rate,Expected rate,Expected rate,53.1%
23,10,5,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate,53.1%
24,17,0,Competitive,Equal,Current rate,Current rate,Optimum rate,Current rate,22.6%
25,15,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,0
26,12,0,Non-Competitive,<50%,Current rate,Optimum rate,Current rate,Current rate,53.1%
27,15,6,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate,0
