,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,14,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
1,15,5,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
2,16,0,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
3,13,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
4,18,0,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
5,13,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
6,16,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
7,18,0,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
8,10,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
9,15,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
10,14,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
11,19,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
12,12,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
13,19,5,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
14,16,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
15,13,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
16,18,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
17,19,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
18,10,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
19,12,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
20,11,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
21,10,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
22,19,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
23,15,1,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
24,12,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
25,10,1,Competitive,76% to 99%,Current rate,Current rate,Optimum rate,Current rate
26,12,0,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
27,13,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
28,19,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
29,13,4,Competitive,76% to 99%,Expected rate,Current rate,Optimum rate,Expected rate
30,13,9,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
31,14,1,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
32,14,5,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
33,11,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
34,14,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
35,18,1,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
36,11,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
37,13,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
38,16,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
39,11,2,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
40,17,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
41,17,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
42,17,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
43,14,1,Equally Competitive & Non-Competitive,50% to 75%,Current rate,Expected rate,Optimum rate,Expected rate
44,17,0,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
45,14,0,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
