,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,48,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
1,44,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
2,19,0,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
3,5,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
4,33,3,Equally Competitive & Non-Competitive,76% to 99%,Expected rate,Expected rate,Optimum rate,Expected rate
5,50,6,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
6,35,3,Non-Competitive,50% to 75%,Expected rate,Optimum rate,Optimum rate,Optimum rate
7,36,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
8,43,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
9,62,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
10,50,6,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
11,34,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
12,51,1,Non-Competitive,76% to 99%,Current rate,Optimum rate,Optimum rate,Optimum rate
13,42,2,Competitive,Equal,Expected rate,Current rate,Optimum rate,Expected rate
14,60,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
15,7,3,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
16,14,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
17,22,4,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
18,49,4,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
19,6,2,Non-Competitive,50% to 75%,Expected rate,Optimum rate,Optimum rate,Optimum rate
20,47,3,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
21,19,8,Non-Competitive,50% to 75%,Optimum rate,Optimum rate,Optimum rate,Optimum rate
22,45,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
23,50,2,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
24,33,2,Equally Competitive & Non-Competitive,Equal,Expected rate,Expected rate,Optimum rate,Expected rate
25,22,6,Non-Competitive,50% to 75%,Expected rate,Optimum rate,Optimum rate,Optimum rate
26,11,1,Equally Competitive & Non-Competitive,50% to 75%,Current rate,Expected rate,Optimum rate,Expected rate
27,28,2,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
28,13,1,Equally Competitive & Non-Competitive,50% to 75%,Current rate,Expected rate,Optimum rate,Expected rate
29,9,3,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
30,28,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
31,32,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
32,59,5,Equally Competitive & Non-Competitive,76% to 99%,Expected rate,Expected rate,Optimum rate,Expected rate
33,5,7,Competitive,76% to 99%,Optimum rate,Current rate,Optimum rate,Optimum rate
34,11,1,Non-Competitive,76% to 99%,Current rate,Optimum rate,Optimum rate,Optimum rate
35,50,0,Equally Competitive & Non-Competitive,50% to 75%,Current rate,Expected rate,Optimum rate,Expected rate
36,34,3,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
37,57,4,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
38,54,2,Non-Competitive,50% to 75%,Expected rate,Optimum rate,Optimum rate,Optimum rate
39,23,3,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
40,26,5,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
41,55,2,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
42,53,6,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
43,20,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
44,61,8,Competitive,76% to 99%,Optimum rate,Current rate,Optimum rate,Optimum rate
45,8,6,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
46,30,1,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
47,33,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
48,63,8,Equally Competitive & Non-Competitive,50% to 75%,Optimum rate,Expected rate,Optimum rate,Optimum rate
49,18,1,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
50,12,2,Non-Competitive,76% to 99%,Expected rate,Optimum rate,Optimum rate,Optimum rate
51,24,1,Competitive,76% to 99%,Current rate,Current rate,Optimum rate,Current rate
52,55,3,Non-Competitive,76% to 99%,Expected rate,Optimum rate,Optimum rate,Optimum rate
53,45,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
54,33,2,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
55,59,8,Competitive,50% to 75%,Optimum rate,Current rate,Optimum rate,Optimum rate
56,35,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
57,51,5,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
58,35,7,Equally Competitive & Non-Competitive,50% to 75%,Optimum rate,Expected rate,Optimum rate,Optimum rate
59,40,7,Equally Competitive & Non-Competitive,<50%,Optimum rate,Expected rate,Current rate,Expected rate
60,24,9,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
61,60,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
62,23,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
63,40,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
64,64,4,Equally Competitive & Non-Competitive,76% to 99%,Expected rate,Expected rate,Optimum rate,Expected rate
