,Age,Role Models,Competitiveness,Competitiveness1
0,12,9,1,Non-Competitive
1,28,6,1,Non-Competitive
2,71,6,1,Non-Competitive
3,83,5,0,Non-Competitive
4,52,6,0,Non-Competitive
5,14,10,1,Non-Competitive
6,56,4,1,Non-Competitive
7,57,10,1,Non-Competitive
8,70,7,1,Non-Competitive
9,18,11,0,Non-Competitive
10,38,14,0,Non-Competitive
11,28,3,1,Non-Competitive
12,19,14,1,Non-Competitive
13,64,9,0,Non-Competitive
14,62,2,0,Non-Competitive
15,20,3,1,Non-Competitive
16,13,8,0,Non-Competitive
17,6,7,1,Non-Competitive
18,31,1,0,Non-Competitive
19,8,13,1,Non-Competitive
20,35,5,1,Non-Competitive
21,5,9,1,Non-Competitive
22,17,13,0,Non-Competitive
23,8,3,1,Non-Competitive
24,63,0,1,Non-Competitive
25,71,12,1,Non-Competitive
26,11,6,1,Non-Competitive
27,53,2,0,Non-Competitive
28,51,13,0,Non-Competitive
29,69,12,1,Non-Competitive
30,65,3,1,Non-Competitive
31,18,12,0,Non-Competitive
32,59,4,1,Non-Competitive
33,75,10,1,Non-Competitive
34,84,8,1,Non-Competitive
35,6,9,0,Non-Competitive
36,23,8,1,Non-Competitive
37,67,14,1,Non-Competitive
38,57,12,1,Non-Competitive
39,31,5,1,Non-Competitive
40,60,2,1,Non-Competitive
41,34,13,1,Non-Competitive
42,52,7,0,Non-Competitive
43,51,12,0,Non-Competitive
44,43,12,1,Non-Competitive
45,42,5,0,Non-Competitive
46,48,9,0,Non-Competitive
47,22,0,0,Non-Competitive
48,68,9,1,Non-Competitive
49,60,8,1,Non-Competitive
50,38,6,0,Non-Competitive
51,57,12,1,Non-Competitive
52,78,2,0,Non-Competitive
53,21,0,0,Non-Competitive
54,76,5,0,Non-Competitive
55,17,3,0,Non-Competitive
56,34,10,1,Non-Competitive
57,21,2,1,Non-Competitive
58,57,3,0,Non-Competitive
59,72,14,1,Non-Competitive
60,54,14,1,Non-Competitive
61,57,6,0,Non-Competitive
62,82,13,0,Non-Competitive
63,4,4,1,Non-Competitive
64,17,1,0,Non-Competitive
65,61,14,1,Non-Competitive
66,80,3,0,Non-Competitive
67,7,1,0,Non-Competitive
68,74,4,1,Non-Competitive
69,7,8,1,Non-Competitive
70,83,8,1,Non-Competitive
71,14,13,1,Non-Competitive
72,64,10,0,Non-Competitive
73,7,12,0,Non-Competitive
74,52,2,0,Non-Competitive
75,56,2,0,Non-Competitive
76,47,7,0,Non-Competitive
77,40,14,0,Non-Competitive
78,9,2,1,Non-Competitive
79,75,1,1,Non-Competitive
80,42,2,1,Non-Competitive
81,46,7,1,Non-Competitive
82,80,1,1,Non-Competitive
83,37,13,0,Non-Competitive
84,62,10,0,Non-Competitive
85,46,10,1,Non-Competitive
86,26,13,1,Non-Competitive
87,4,0,1,Non-Competitive
88,59,10,0,Non-Competitive
89,23,5,0,Non-Competitive
90,57,14,1,Non-Competitive
91,72,3,0,Non-Competitive
92,66,12,0,Non-Competitive
93,54,5,0,Non-Competitive
94,72,2,0,Non-Competitive
95,39,6,0,Non-Competitive
96,27,1,1,Non-Competitive
97,13,10,0,Non-Competitive
98,52,13,0,Non-Competitive
99,25,1,0,Non-Competitive
