,Age,Role Models,Competitiveness1
0,64,5,Non-Competitive
1,19,1,Non-Competitive
2,60,2,Non-Competitive
3,19,8,Competitive
4,31,7,Competitive
5,36,2,Competitive
6,6,0,Competitive
7,21,8,Non-Competitive
8,42,4,Competitive
9,5,5,Non-Competitive
10,14,1,Non-Competitive
11,64,6,Non-Competitive
12,37,9,Non-Competitive
13,53,5,Non-Competitive
14,51,0,Competitive
15,6,7,Competitive
16,54,2,Competitive
17,45,7,Non-Competitive
18,22,7,Competitive
19,46,10,Competitive
20,37,4,Competitive
21,27,3,Competitive
22,46,8,Non-Competitive
23,63,4,Competitive
24,17,4,Competitive
25,48,9,Competitive
26,57,6,Non-Competitive
27,40,10,Non-Competitive
28,65,1,Competitive
29,6,10,Non-Competitive
30,24,5,Competitive
31,59,1,Non-Competitive
32,60,9,Non-Competitive
33,32,5,Non-Competitive
34,62,4,Competitive
35,34,9,Non-Competitive
36,29,1,Competitive
37,39,4,Competitive
38,42,2,Competitive
39,58,8,Non-Competitive
40,9,2,Non-Competitive
41,6,3,Non-Competitive
42,47,0,Non-Competitive
43,28,7,Competitive
44,39,8,Competitive
45,29,9,Non-Competitive
46,59,2,Competitive
47,49,1,Competitive
48,21,7,Non-Competitive
49,43,7,Non-Competitive
50,23,10,Competitive
51,41,8,Competitive
52,8,6,Non-Competitive
53,35,9,Competitive
54,53,10,Competitive
55,38,6,Competitive
56,62,6,Competitive
57,4,2,Non-Competitive
58,56,1,Non-Competitive
59,24,2,Competitive
60,11,1,Competitive
61,39,7,Competitive
62,38,0,Competitive
63,47,1,Non-Competitive
64,45,0,Non-Competitive
65,52,9,Non-Competitive
66,16,5,Non-Competitive
67,52,5,Non-Competitive
68,14,3,Non-Competitive
69,51,9,Competitive
70,42,1,Competitive
71,48,0,Competitive
72,37,7,Non-Competitive
73,58,2,Competitive
74,27,8,Non-Competitive
75,16,6,Competitive
76,17,10,Non-Competitive
77,19,8,Competitive
78,39,10,Non-Competitive
79,21,0,Non-Competitive
80,63,3,Competitive
81,34,5,Competitive
82,41,6,Non-Competitive
83,52,1,Competitive
84,20,0,Non-Competitive
85,31,0,Competitive
86,16,2,Non-Competitive
87,60,2,Competitive
88,11,5,Non-Competitive
89,26,1,Competitive
90,31,10,Non-Competitive
91,6,7,Competitive
92,64,9,Non-Competitive
93,53,3,Competitive
94,49,0,Competitive
95,58,2,Competitive
96,65,5,Non-Competitive
97,42,6,Competitive
98,47,0,Competitive
99,46,3,Competitive
