,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate1
0,26,10,Competitive,<50%,High,Low,Low,Low
1,12,6,Competitive,<50%,Medium,Low,Low,Low
2,22,8,Competitive,<50%,High,Low,Low,Low
3,9,8,Non-Competitive,50% to 100%,High,Medium,Medium,Medium
4,35,6,Competitive,<50%,Medium,Low,Low,Low
5,65,3,Competitive,<50%,Medium,Low,Low,Low
6,10,3,Non-Competitive,<50%,Medium,Medium,Low,Low
7,29,10,Competitive,<50%,High,Low,Low,Low
8,21,0,Non-Competitive,<50%,Low,Medium,Low,Low
9,58,10,Competitive,<50%,High,Low,Low,Low
10,20,1,Competitive,<50%,Low,Low,Low,Low
11,27,0,Non-Competitive,<50%,Low,Medium,Low,Low
12,25,8,Competitive,<50%,High,Low,Low,Low
13,21,1,Competitive,<50%,Low,Low,Low,Low
14,29,7,Competitive,<50%,High,Low,Low,Low
15,47,5,Competitive,<50%,Medium,Low,Low,Low
16,55,0,Non-Competitive,<50%,Low,Medium,Low,Low
17,41,7,Competitive,<50%,High,Low,Low,Low
18,58,5,Non-Competitive,<50%,Medium,Medium,Low,Low
19,8,7,Non-Competitive,<50%,High,Medium,Low,Low
20,17,10,Non-Competitive,Equal,High,Medium,High,High
21,49,7,Competitive,<50%,High,Low,Low,Low
22,13,0,Competitive,50% to 100%,Low,Low,Medium,Low
23,39,9,Competitive,<50%,High,Low,Low,Low
24,5,1,Competitive,50% to 100%,Low,Low,Medium,Low
25,21,9,Competitive,<50%,High,Low,Low,Low
26,30,7,Competitive,<50%,High,Low,Low,Low
27,42,3,Competitive,<50%,Medium,Low,Low,Low
28,43,4,Competitive,<50%,Medium,Low,Low,Low
29,40,10,Non-Competitive,<50%,High,Medium,Low,Low
30,36,4,Competitive,50% to 100%,Medium,Low,Medium,Low
31,35,8,Competitive,<50%,High,Low,Low,Low
32,16,5,Competitive,<50%,Medium,Low,Low,Low
33,15,3,Competitive,50% to 100%,Medium,Low,Medium,Low
34,10,10,Non-Competitive,<50%,High,Medium,Low,Low
35,30,10,Competitive,<50%,High,Low,Low,Low
36,63,1,Competitive,<50%,Low,Low,Low,Low
37,58,7,Competitive,<50%,High,Low,Low,Low
38,25,9,Competitive,Equal,High,Low,High,Low
39,46,1,Non-Competitive,50% to 100%,Low,Medium,Medium,Low
40,58,9,Competitive,<50%,High,Low,Low,Low
41,7,3,Competitive,<50%,Medium,Low,Low,Low
42,48,1,Non-Competitive,50% to 100%,Low,Medium,Medium,Low
43,39,6,Competitive,50% to 100%,Medium,Low,Medium,Low
44,62,10,Competitive,<50%,High,Low,Low,Low
45,26,7,Non-Competitive,<50%,High,Medium,Low,Low
46,40,6,Competitive,50% to 100%,Medium,Low,Medium,Low
47,46,7,Non-Competitive,<50%,High,Medium,Low,Low
48,33,3,Non-Competitive,<50%,Medium,Medium,Low,Low
49,16,10,Non-Competitive,<50%,High,Medium,Low,Low
50,33,10,Competitive,<50%,High,Low,Low,Low
51,19,0,Competitive,50% to 100%,Low,Low,Medium,Low
52,62,4,Competitive,<50%,Medium,Low,Low,Low
53,49,4,Non-Competitive,<50%,Medium,Medium,Low,Low
54,46,7,Competitive,50% to 100%,High,Low,Medium,Low
55,5,9,Competitive,<50%,High,Low,Low,Low
56,30,3,Competitive,<50%,Medium,Low,Low,Low
57,52,7,Competitive,<50%,High,Low,Low,Low
58,48,4,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
59,29,5,Non-Competitive,<50%,Medium,Medium,Low,Low
60,34,8,Competitive,<50%,High,Low,Low,Low
61,52,4,Competitive,50% to 100%,Medium,Low,Medium,Low
62,28,6,Non-Competitive,<50%,Medium,Medium,Low,Low
63,20,10,Non-Competitive,<50%,High,Medium,Low,Low
64,58,5,Non-Competitive,<50%,Medium,Medium,Low,Low
65,60,9,Competitive,<50%,High,Low,Low,Low
66,13,10,Non-Competitive,<50%,High,Medium,Low,Low
67,52,3,Non-Competitive,<50%,Medium,Medium,Low,Low
68,36,9,Competitive,<50%,High,Low,Low,Low
69,54,9,Competitive,50% to 100%,High,Low,Medium,Low
70,41,6,Competitive,<50%,Medium,Low,Low,Low
71,31,4,Non-Competitive,<50%,Medium,Medium,Low,Low
72,21,10,Competitive,<50%,High,Low,Low,Low
73,17,2,Competitive,<50%,Medium,Low,Low,Low
74,36,7,Competitive,<50%,High,Low,Low,Low
75,39,8,Competitive,50% to 100%,High,Low,Medium,Low
76,53,9,Competitive,<50%,High,Low,Low,Low
77,30,10,Competitive,<50%,High,Low,Low,Low
78,41,1,Competitive,50% to 100%,Low,Low,Medium,Low
79,53,8,Non-Competitive,50% to 100%,High,Medium,Medium,Medium
80,4,9,Non-Competitive,<50%,High,Medium,Low,Low
81,31,10,Non-Competitive,<50%,High,Medium,Low,Low
82,48,7,Competitive,<50%,High,Low,Low,Low
83,20,4,Competitive,<50%,Medium,Low,Low,Low
84,43,8,Competitive,Equal,High,Low,High,Low
85,54,2,Competitive,<50%,Medium,Low,Low,Low
86,50,4,Competitive,<50%,Medium,Low,Low,Low
87,4,0,Competitive,<50%,Low,Low,Low,Low
88,27,5,Competitive,<50%,Medium,Low,Low,Low
89,62,1,Competitive,<50%,Low,Low,Low,Low
90,62,6,Competitive,<50%,Medium,Low,Low,Low
91,54,3,Competitive,<50%,Medium,Low,Low,Low
92,22,2,Competitive,50% to 100%,Medium,Low,Medium,Low
93,52,0,Non-Competitive,50% to 100%,Low,Medium,Medium,Low
94,20,1,Competitive,<50%,Low,Low,Low,Low
95,29,9,Competitive,<50%,High,Low,Low,Low
96,55,7,Competitive,50% to 100%,High,Low,Medium,Low
97,65,2,Competitive,<50%,Medium,Low,Low,Low
98,54,5,Non-Competitive,Equal,Medium,Medium,High,Medium
99,62,0,Non-Competitive,50% to 100%,Low,Medium,Medium,Low
