,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,11,4,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
1,18,5,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
2,18,8,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
3,15,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
4,18,1,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
5,15,2,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
6,18,1,Equally Competitive & Non-Competitive,76% to 99%,Current rate,Expected rate,Optimum rate,Expected rate
7,12,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
8,16,4,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
9,14,4,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
10,15,0,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
11,11,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
12,12,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
13,18,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
14,12,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
15,13,1,Competitive,76% to 99%,Current rate,Current rate,Optimum rate,Current rate
16,14,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
17,13,5,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
18,16,1,Equally Competitive & Non-Competitive,50% to 75%,Current rate,Expected rate,Optimum rate,Expected rate
19,12,2,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
20,10,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
21,18,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
22,18,0,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
23,17,3,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
24,12,9,Competitive,50% to 75%,Optimum rate,Current rate,Optimum rate,Optimum rate
25,18,1,Non-Competitive,<50%,Current rate,Optimum rate,Current rate,Current rate
26,13,0,Equally Competitive & Non-Competitive,50% to 75%,Current rate,Expected rate,Optimum rate,Expected rate
27,15,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
28,16,0,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
29,18,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
30,16,0,Equally Competitive & Non-Competitive,76% to 99%,Current rate,Expected rate,Optimum rate,Expected rate
31,17,1,Non-Competitive,<50%,Current rate,Optimum rate,Current rate,Current rate
32,13,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
33,17,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
34,18,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
35,11,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
36,16,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
37,17,0,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
38,10,5,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
39,17,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
40,11,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
41,10,1,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
42,13,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
43,12,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
44,19,1,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
45,10,2,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
46,18,2,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
47,11,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
48,18,4,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
49,16,2,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
50,14,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
51,10,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
52,19,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
53,18,2,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
54,11,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
55,19,1,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
56,14,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
57,12,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
58,10,0,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
59,17,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
60,15,2,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
61,12,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
62,18,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
63,14,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
64,17,0,Competitive,76% to 99%,Current rate,Current rate,Optimum rate,Current rate
65,17,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
66,12,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
67,19,2,Non-Competitive,50% to 75%,Expected rate,Optimum rate,Optimum rate,Optimum rate
68,18,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
69,13,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
70,11,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
71,12,9,Non-Competitive,50% to 75%,Optimum rate,Optimum rate,Optimum rate,Optimum rate
72,12,6,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
73,12,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
74,10,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
75,17,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
76,10,5,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
77,17,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
78,12,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
79,15,8,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
80,13,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
81,16,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
82,10,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
83,16,6,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
84,19,2,Competitive,76% to 99%,Expected rate,Current rate,Optimum rate,Expected rate
85,19,5,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
86,17,1,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
87,17,0,Equally Competitive & Non-Competitive,50% to 75%,Current rate,Expected rate,Optimum rate,Expected rate
88,11,5,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
89,14,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
90,14,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
