,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,60,4,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
1,34,3,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
2,52,3,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
3,31,1,Competitive,76% to 99%,Current rate,Current rate,Optimum rate,Current rate
4,65,1,Equally Competitive & Non-Competitive,76% to 99%,Current rate,Expected rate,Optimum rate,Expected rate
5,38,4,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
6,7,2,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
7,31,1,Equally Competitive & Non-Competitive,76% to 99%,Current rate,Expected rate,Optimum rate,Expected rate
8,45,3,Non-Competitive,Equal,Expected rate,Optimum rate,Optimum rate,Optimum rate
9,13,4,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
10,19,5,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
11,19,2,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
12,33,2,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
13,6,2,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
14,26,2,Competitive,76% to 99%,Expected rate,Current rate,Optimum rate,Expected rate
15,50,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
16,31,2,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
17,23,2,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
18,58,2,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
19,46,4,Non-Competitive,76% to 99%,Expected rate,Optimum rate,Optimum rate,Optimum rate
20,20,7,Non-Competitive,50% to 75%,Optimum rate,Optimum rate,Optimum rate,Optimum rate
21,55,3,Non-Competitive,50% to 75%,Expected rate,Optimum rate,Optimum rate,Optimum rate
22,53,2,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
23,60,8,Equally Competitive & Non-Competitive,<50%,Optimum rate,Expected rate,Current rate,Expected rate
24,17,1,Equally Competitive & Non-Competitive,50% to 75%,Current rate,Expected rate,Optimum rate,Expected rate
25,31,4,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
26,10,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
27,35,5,Equally Competitive & Non-Competitive,76% to 99%,Expected rate,Expected rate,Optimum rate,Expected rate
28,18,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
29,59,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
30,35,1,Non-Competitive,76% to 99%,Current rate,Optimum rate,Optimum rate,Optimum rate
31,24,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
32,15,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
33,36,2,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
34,51,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
35,46,7,Equally Competitive & Non-Competitive,76% to 99%,Optimum rate,Expected rate,Optimum rate,Optimum rate
36,9,3,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
37,19,5,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
38,55,2,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
39,59,2,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
40,16,6,Non-Competitive,76% to 99%,Expected rate,Optimum rate,Optimum rate,Optimum rate
41,15,2,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
42,9,3,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
43,43,6,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
44,5,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
45,16,3,Equally Competitive & Non-Competitive,76% to 99%,Expected rate,Expected rate,Optimum rate,Expected rate
46,64,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
47,63,2,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
48,30,9,Competitive,50% to 75%,Optimum rate,Current rate,Optimum rate,Optimum rate
49,9,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
50,19,6,Competitive,76% to 99%,Expected rate,Current rate,Optimum rate,Expected rate
51,13,1,Equally Competitive & Non-Competitive,Equal,Current rate,Expected rate,Optimum rate,Expected rate
52,9,7,Equally Competitive & Non-Competitive,<50%,Optimum rate,Expected rate,Current rate,Expected rate
53,25,6,Non-Competitive,50% to 75%,Expected rate,Optimum rate,Optimum rate,Optimum rate
54,26,4,Competitive,76% to 99%,Expected rate,Current rate,Optimum rate,Expected rate
55,20,8,Equally Competitive & Non-Competitive,<50%,Optimum rate,Expected rate,Current rate,Expected rate
56,41,4,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
57,22,2,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
58,10,7,Equally Competitive & Non-Competitive,<50%,Optimum rate,Expected rate,Current rate,Expected rate
59,14,6,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
60,58,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
61,10,1,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
62,47,2,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
63,46,1,Non-Competitive,76% to 99%,Current rate,Optimum rate,Optimum rate,Optimum rate
64,51,6,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
65,24,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
66,52,2,Competitive,76% to 99%,Expected rate,Current rate,Optimum rate,Expected rate
67,39,5,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
68,9,3,Equally Competitive & Non-Competitive,76% to 99%,Expected rate,Expected rate,Optimum rate,Expected rate
